Date,Searches
2022-02-16,17338
2022-02-17,15652
2022-02-18,16447
2022-02-19,15059
2022-02-20,17842
2022-02-21,19693
2022-02-22,17272
2022-02-23,15488
2022-02-24,13731
2022-02-25,12818
2022-02-26,12573
2022-02-27,12327
2022-02-28,13639
2022-03-01,14147
2022-03-02,13940
2022-03-03,14346
2022-03-04,13676
2022-03-05,12432
2022-03-06,15469
2022-03-07,17484
2022-03-08,17099
2022-03-09,17860
2022-03-10,17357
2022-03-11,14823
2022-03-12,13750
2022-03-13,15751
2022-03-14,15668
2022-03-15,15866
2022-03-16,16420
2022-03-17,14834
2022-03-18,16171
2022-03-19,13395
2022-03-20,16724
2022-03-21,17519
2022-03-22,17902
2022-03-23,16150
2022-03-24,15941
2022-03-25,14204
2022-03-26,12959
2022-03-27,14499
2022-03-28,16997
2022-03-29,17224
2022-03-30,17536
2022-03-31,16483
2022-04-01,15391
2022-04-02,15515
2022-04-03,17483
2022-04-04,17470
2022-04-05,17178
2022-04-06,16524
2022-04-07,16138
2022-04-08,14200
2022-04-09,13586
2022-04-10,13749
2022-04-11,16107
2022-04-12,16560
2022-04-13,16097
2022-04-14,16192
2022-04-15,15066
2022-04-16,12049
2022-04-17,14187
2022-04-18,17744
2022-04-19,18242
2022-04-20,17379
2022-04-21,16617
2022-04-22,14500
2022-04-23,13355
2022-04-24,14129
2022-04-25,16661
2022-04-26,16043
2022-04-27,17047
2022-04-28,15697
2022-04-29,12874
2022-04-30,11335
2022-05-01,13369
2022-05-02,14436
2022-05-03,15442
2022-05-04,16253
2022-05-05,14485
2022-05-06,15191
2022-05-07,14110
2022-05-08,15276
2022-05-09,19747
2022-05-10,19221
2022-05-11,17992
2022-05-12,16580
2022-05-13,15367
2022-05-14,12447
2022-05-15,15113
2022-05-16,18367
2022-05-17,17108
2022-05-18,16469
2022-05-19,17502
2022-05-20,15443
2022-05-21,12423
2022-05-22,14601
2022-05-23,17149
2022-05-24,16957
2022-05-25,16052
2022-05-26,16602
2022-05-27,3595
